"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"LINK","glmnet_logistic","lagged_returns_plus_node_network",5040,0.517063492063492,0.517220525708483,0.497315159025196,0.519555866807586,0.460119047619048,0.500595238095238
"LTC","glmnet_logistic","lagged_returns_plus_node_network",5040,0.517460317460318,0.517442157252614,0.511254019292605,0.521121985128176,0.488492063492063,0.498809523809524
"SOL","glmnet_logistic","lagged_returns_plus_node_network",5040,0.521031746031746,0.521055848204577,0.521980198019802,0.516273030067725,0.497420634920635,0.504563492063492
"TRX","glmnet_logistic","lagged_returns_plus_node_network",5040,0.492261904761905,0.491774600488707,0.475507276081164,0.490170813987895,0.479761904761905,0.488293650793651
"XRP","glmnet_logistic","lagged_returns_plus_node_network",5040,0.510912698412698,0.51087509013322,0.502723421424249,0.507820687100803,0.485119047619048,0.498412698412698
"ADA","random_forest","lagged_returns_plus_node_network",5040,0.50734126984127,0.513202750127027,0.550099655734735,0.517856773609211,0.475595238095238,0.619444444444444
"AVAX","random_forest","lagged_returns_plus_node_network",5040,0.496230158730159,0.507133079712721,0.532498619038851,0.510310188971059,0.455555555555556,0.62202380952381
"BNB","random_forest","lagged_returns_plus_node_network",5040,0.517857142857143,0.515580897177419,0.581323225361819,0.523285896547379,0.507936507936508,0.643650793650794
"BTC","random_forest","lagged_returns_plus_node_network",5040,0.515079365079365,0.515386099246107,0.579635362917097,0.522530323012421,0.499007936507937,0.654563492063492
"DOGE","random_forest","lagged_returns_plus_node_network",5040,0.517460317460318,0.518854913900264,0.570924488355681,0.522528253826064,0.494642857142857,0.629960317460317
"DOT","random_forest","lagged_returns_plus_node_network",5040,0.510912698412698,0.517913301076331,0.552062511357441,0.52086390836378,0.471230158730159,0.620634920634921
"ETH","random_forest","lagged_returns_plus_node_network",5040,0.531746031746032,0.532742712288854,0.584945480126627,0.535644505490439,0.496230158730159,0.631944444444444
"LINK","random_forest","lagged_returns_plus_node_network",5040,0.501984126984127,0.512269811770176,0.542304886943837,0.517312047117599,0.460119047619048,0.62797619047619
"LTC","random_forest","lagged_returns_plus_node_network",5040,0.514087301587302,0.51729768036608,0.569065634348056,0.515700478144444,0.488492063492063,0.639087301587302
"SOL","random_forest","lagged_returns_plus_node_network",5040,0.514880952380952,0.515589669100226,0.572477705892639,0.521117814454309,0.497420634920635,0.637301587301587
"TRX","random_forest","lagged_returns_plus_node_network",5040,0.498015873015873,0.504576659038902,0.560305874174487,0.50561041363433,0.479761904761905,0.661904761904762
"XRP","random_forest","lagged_returns_plus_node_network",5040,0.508134920634921,0.512598555504332,0.566532610596258,0.518123574122014,0.485119047619048,0.649603174603175
"ADA","xgboost","lagged_returns_plus_node_network",5040,0.517460317460318,0.515783776258348,0.486919831223629,0.520442219440968,0.475595238095238,0.464880952380952
"AVAX","xgboost","lagged_returns_plus_node_network",5040,0.513293650793651,0.510252968783332,0.471222246173744,0.517401127324997,0.455555555555556,0.464880952380952
"BNB","xgboost","lagged_returns_plus_node_network",5040,0.522420634920635,0.522983870967742,0.509076075871915,0.527486769153226,0.507936507936508,0.464880952380952
"BTC","xgboost","lagged_returns_plus_node_network",5040,0.516071428571429,0.516002204594217,0.498044865198601,0.524829714780623,0.499007936507937,0.465079365079365
"DOGE","xgboost","lagged_returns_plus_node_network",5040,0.510714285714286,0.510339197101708,0.490074441687345,0.513898594116136,0.494642857142857,0.464880952380952
"DOT","xgboost","lagged_returns_plus_node_network",5040,0.517460317460318,0.515490866001777,0.484527342094108,0.523371343932063,0.471230158730159,0.464880952380952
"ETH","xgboost","lagged_returns_plus_node_network",5040,0.513492063492063,0.513228028993208,0.493806771263419,0.520776880267979,0.496230158730159,0.464880952380952
"LINK","xgboost","lagged_returns_plus_node_network",5040,0.516071428571429,0.512415532870924,0.47012817727569,0.517715137514285,0.460119047619048,0.453174603174603
"LTC","xgboost","lagged_returns_plus_node_network",5040,0.508531746031746,0.507727544006368,0.484495317377732,0.515103821689368,0.488492063492063,0.464880952380952
"SOL","xgboost","lagged_returns_plus_node_network",5040,0.516269841269841,0.516089099750859,0.497319587628866,0.51927969234505,0.497420634920635,0.464880952380952
"TRX","xgboost","lagged_returns_plus_node_network",5040,0.494047619047619,0.492622077364087,0.464510709785804,0.490840215041145,0.479761904761905,0.465079365079365
"XRP","xgboost","lagged_returns_plus_node_network",5040,0.513095238095238,0.512060711372744,0.487468671679198,0.518269048153796,0.485119047619048,0.464880952380952
"ADA","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.513095238095238,0.512825576048759,0.49774866966844,0.515451825186326,0.475595238095238,0.493849206349206
"AVAX","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.505952380952381,0.505466472303207,0.479732553280401,0.510287253278614,0.455555555555556,0.494047619047619
"BNB","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.517063492063492,0.517162298387097,0.518019801980198,0.518626984627016,0.507936507936508,0.494047619047619
"BTC","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.511706349206349,0.511694584965455,0.508291708291708,0.514918882743145,0.499007936507937,0.494047619047619
"DOGE","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.511706349206349,0.511643910369529,0.506120810756572,0.511013247772995,0.494642857142857,0.494047619047619
"DOT","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.520238095238095,0.519950232052928,0.502878289473684,0.521998775550509,0.471230158730159,0.493849206349206
